Nomor,Server Mode,Operasi,Volume (MB),Client Worker Pool,Server Worker Pool,Waktu Total (s),Throughput (bytes/s),Client Sukses,Client Gagal,Server Sukses,Server Gagal
77,process,upload,50,5,5,11.83,22158487.61,0,5,N/A,N/A
78,process,upload,50,50,5,161.13,17070129.95,0,50,N/A,N/A
79,process,upload,100,1,5,2.61,40225995.92,0,1,N/A,N/A
80,process,upload,100,5,5,13.67,38354765.90,0,5,N/A,N/A
81,process,upload,100,50,5,271.37,21421245.55,0,50,N/A,N/A
82,process,download,10,1,5,2.04,5137653.32,0,1,N/A,N/A
83,process,download,10,5,5,10.23,5122668.79,0,5,N/A,N/A
84,process,download,10,50,5,101.71,5154942.39,0,50,N/A,N/A
85,process,download,50,1,5,2.05,25563323.02,0,1,N/A,N/A
86,process,download,50,5,5,10.18,25748039.06,0,5,N/A,N/A
87,process,download,50,50,5,101.31,25875992.72,0,50,N/A,N/A
88,process,download,100,1,5,2.03,51717568.51,0,1,N/A,N/A
89,process,download,100,5,5,10.13,51774784.46,0,5,N/A,N/A
90,process,download,100,50,5,101.49,51658167.18,0,50,N/A,N/A
91,process,upload,10,1,50,2.07,5076102.66,0,1,N/A,N/A
92,process,upload,10,5,50,10.50,4991129.05,0,5,N/A,N/A
93,process,upload,10,50,50,107.28,4887973.59,0,50,N/A,N/A
94,process,upload,50,1,50,2.28,23044499.99,0,1,N/A,N/A
95,process,upload,50,5,50,11.54,22721218.58,0,5,N/A,N/A
96,process,upload,50,50,50,159.88,16864532.01,0,50,N/A,N/A
97,process,upload,100,1,50,3.20,32766915.56,0,1,N/A,N/A
98,process,upload,100,5,50,15.26,34359512.06,0,5,N/A,N/A
99,process,upload,100,50,50,242.00,22747354.12,0,50,N/A,N/A
100,process,download,10,1,50,2.04,5152120.08,0,1,N/A,N/A
101,process,download,10,5,50,10.14,5170034.25,0,5,N/A,N/A
102,process,download,10,50,50,101.78,5151133.34,0,50,N/A,N/A
103,process,download,50,1,50,2.03,25838603.09,0,1,N/A,N/A
104,process,download,50,5,50,10.19,25721605.58,0,5,N/A,N/A
105,process,download,50,50,50,102.08,25679362.44,0,50,N/A,N/A
106,process,download,100,1,50,2.04,51424633.32,0,1,N/A,N/A
107,process,download,100,5,50,10.18,51512512.41,0,5,N/A,N/A
108,process,download,100,50,50,101.03,51896663.31,0,50,N/A,N/A
